Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D3_TH_SMD,85.25,-88.75,90.0,top
D2,D,D3_TH_SMD,102.65,-73.65,0.0,top
D3,D,D3_TH_SMD,117.1,-73.7,0.0,top
D4,D,D3_TH_SMD,131.35,-73.775,0.0,top
D5,D,D3_TH_SMD,145.475,-73.7,0.0,top
D6,D,D3_TH_SMD,158.975,-73.55,0.0,top
D7,D,D3_TH_SMD,174.975,-73.725,0.0,top
D8,D,D3_TH_SMD,190.5,-73.8187,0.0,top
D9,D,D3_TH_SMD,209.55,-73.8187,0.0,top
D10,D,D3_TH_SMD,228.6,-73.8187,0.0,top
D11,D,D3_TH_SMD,247.65,-73.8187,0.0,top
D12,D,D3_TH_SMD,268.475,-73.8187,0.0,top
D13,D,D3_TH_SMD,70.0,-104.875,90.0,top
D14,D,D3_TH_SMD,97.6,-92.75,0.0,top
D15,D,D3_TH_SMD,112.625,-93.05,0.0,top
D16,D,D3_TH_SMD,128.25,-92.85,0.0,top
D17,D,D3_TH_SMD,142.875,-92.85,0.0,top
D18,D,D3_TH_SMD,158.0,-92.95,0.0,top
D19,D,D3_TH_SMD,175.6063,-92.8687,0.0,top
D20,D,D3_TH_SMD,192.8813,-92.8687,0.0,top
D21,D,D3_TH_SMD,211.9313,-92.8687,0.0,top
D22,D,D3_TH_SMD,233.3625,-92.8687,0.0,top
D23,D,D3_TH_SMD,252.4125,-92.8687,0.0,top
D24,D,D3_TH_SMD,271.4625,-92.8687,0.0,top
D25,D,D3_TH_SMD,62.5188,-111.9187,0.0,top
D26,D,D3_TH_SMD,85.725,-111.9187,0.0,top
D27,D,D3_TH_SMD,105.3813,-111.9187,0.0,top
D28,D,D3_TH_SMD,122.8725,-111.9187,0.0,top
D29,D,D3_TH_SMD,142.2688,-111.9187,0.0,top
D30,D,D3_TH_SMD,160.9725,-111.9187,0.0,top
D31,D,D3_TH_SMD,181.5813,-111.9187,0.0,top
D32,D,D3_TH_SMD,200.6313,-111.9187,0.0,top
D33,D,D3_TH_SMD,219.6813,-111.9187,0.0,top
D34,D,D3_TH_SMD,238.125,-111.9187,0.0,top
D35,D,D3_TH_SMD,262.5438,-111.9187,0.0,top
D36,D,D3_TH_SMD,64.9,-130.9687,0.0,top
D37,D,D3_TH_SMD,95.8563,-130.9687,0.0,top
D38,D,D3_TH_SMD,114.9063,-130.9687,0.0,top
D39,D,D3_TH_SMD,133.9563,-130.9687,0.0,top
D40,D,D3_TH_SMD,153.0063,-130.9687,0.0,top
D41,D,D3_TH_SMD,172.0563,-130.9687,0.0,top
D42,D,D3_TH_SMD,191.1063,-130.9687,0.0,top
D43,D,D3_TH_SMD,210.1563,-130.9687,0.0,top
D44,D,D3_TH_SMD,229.2063,-130.9687,0.0,top
D45,D,D3_TH_SMD,248.2563,-130.9687,0.0,top
D46,D,D3_TH_SMD,267.6145,-130.9687,0.0,top
D47,D,D3_TH_SMD,70.125,-163.75,90.0,top
D48,D,D3_TH_SMD,89.325,-163.825,90.0,top
D49,D,D3_TH_SMD,108.5,-163.55,90.0,top
D50,D,D3_TH_SMD,169.675,-150.0187,0.0,top
D51,D,D3_TH_SMD,241.1125,-150.0187,0.0,top
D52,D,D3_TH_SMD,267.3063,-150.0187,0.0,top
J1L1,Conn_01x03,StripLED_1side,129.225,-165.675,180.0,bottom
SW1,SW_PUSH,CherryMX_Hotswap_1u,57.15,-83.3437,0.0,top
SW2,SW_PUSH,CherryMX_Hotswap_1u,76.0563,-83.34,0.0,top
SW3,SW_PUSH,CherryMX_Hotswap_1u,95.25,-83.3437,0.0,top
SW4,SW_PUSH,CherryMX_Hotswap_1u,114.3,-83.3437,0.0,top
SW5,SW_PUSH,CherryMX_Hotswap_1u,133.35,-83.3437,0.0,top
SW6,SW_PUSH,CherryMX_Hotswap_1u,152.4,-83.3437,0.0,top
SW7,SW_PUSH,CherryMX_Hotswap_1u,171.45,-83.3437,0.0,top
SW8,SW_PUSH,CherryMX_Hotswap_1u,190.5,-83.3437,0.0,top
SW9,SW_PUSH,CherryMX_Hotswap_1u,209.55,-83.3437,0.0,top
SW10,SW_PUSH,CherryMX_Hotswap_1u,228.6,-83.3437,0.0,top
SW11,SW_PUSH,CherryMX_Hotswap_1u,247.65,-83.3437,0.0,top
SW12,SW_PUSH,CherryMX_Hotswap_1.25u,269.0813,-83.3437,0.0,top
SW13,SW_PUSH,CherryMX_Hotswap_1.25u,59.5313,-102.3937,0.0,top
SW14,SW_PUSH,CherryMX_Hotswap_1u,80.9625,-102.3937,0.0,top
SW15,SW_PUSH,CherryMX_Hotswap_1u,100.0125,-102.3937,0.0,top
SW16,SW_PUSH,CherryMX_Hotswap_1u,119.0625,-102.3937,0.0,top
SW17,SW_PUSH,CherryMX_Hotswap_1u,138.1125,-102.3937,0.0,top
SW18,SW_PUSH,CherryMX_Hotswap_1u,157.1625,-102.3937,0.0,top
SW19,SW_PUSH,CherryMX_Hotswap_1u,176.2125,-102.3937,0.0,top
SW20,SW_PUSH,CherryMX_Hotswap_1u,195.2625,-102.3937,0.0,top
SW21,SW_PUSH,CherryMX_Hotswap_1u,214.3125,-102.3937,0.0,top
SW22,SW_PUSH,CherryMX_Hotswap_1u,233.3625,-102.3937,0.0,top
SW23,SW_PUSH,CherryMX_Hotswap_1u,252.4125,-102.3937,0.0,top
SW24,SW_PUSH,CherryMX_Hotswap_1u,271.4625,-102.3937,0.0,top
SW25,SW_PUSH,CherryMX_Hotswap_1.5u,61.9125,-121.4437,0.0,top
SW26,SW_PUSH,CherryMX_Hotswap_1u,85.725,-121.4437,0.0,top
SW27,SW_PUSH,CherryMX_Hotswap_1u,104.775,-121.4437,0.0,top
SW28,SW_PUSH,CherryMX_Hotswap_1u,123.825,-121.4437,0.0,top
SW29,SW_PUSH,CherryMX_Hotswap_1u,142.875,-121.4437,0.0,top
SW30,SW_PUSH,CherryMX_Hotswap_1u,161.925,-121.4437,0.0,top
SW31,SW_PUSH,CherryMX_Hotswap_1u,180.975,-121.4437,0.0,top
SW32,SW_PUSH,CherryMX_Hotswap_1u,200.025,-121.4437,0.0,top
SW33,SW_PUSH,CherryMX_Hotswap_1u,219.075,-121.4437,0.0,top
SW34,SW_PUSH,CherryMX_Hotswap_1u,238.125,-121.4437,0.0,top
SW35,SW_PUSH,CherryMX_Hotswap_1.75u,264.3188,-121.4437,0.0,top
SW36,SW_PUSH,CherryMX_Hotswap_2u,66.675,-140.4937,0.0,top
SW37,SW_PUSH,CherryMX_Hotswap_1u,95.25,-140.4937,0.0,top
SW38,SW_PUSH,CherryMX_Hotswap_1u,114.3,-140.4937,0.0,top
SW39,SW_PUSH,CherryMX_Hotswap_1u,133.35,-140.4937,0.0,top
SW40,SW_PUSH,CherryMX_Hotswap_1u,152.4,-140.4937,0.0,top
SW41,SW_PUSH,CherryMX_Hotswap_1u,171.45,-140.4937,0.0,top
SW42,SW_PUSH,CherryMX_Hotswap_1u,190.5,-140.4937,0.0,top
SW43,SW_PUSH,CherryMX_Hotswap_1u,209.55,-140.4937,0.0,top
SW44,SW_PUSH,CherryMX_Hotswap_1u,228.6,-140.4937,0.0,top
SW45,SW_PUSH,CherryMX_Hotswap_1u,247.65,-140.4937,0.0,top
SW46,SW_PUSH,CherryMX_Hotswap_1.25u,269.0813,-140.4937,0.0,top
SW47,SW_PUSH,CherryMX_Hotswap_1.25u,59.5313,-159.5437,0.0,top
SW48,SW_PUSH,CherryMX_Hotswap_1u,80.9625,-159.5437,0.0,top
SW49,SW_PUSH,CherryMX_Hotswap_1u,100.0125,-159.5437,0.0,top
SW50,SW_PUSH,CherryMX_Hotswap_6.25u,169.0688,-159.5437,0.0,top
SW51,SW_PUSH,CherryMX_Hotswap_1.25u,240.5063,-159.5437,0.0,top
SW52,SW_PUSH,CherryMX_Hotswap_1.5u,266.7,-159.5437,0.0,top
SW53,RESET_SWITCH,ResetSW_1side,50.0063,-126.2062,90.0,top
U1,ProMicro,ProMicro_v2_1side,65.765,-82.2936,90.0,top
